"Item","Category","Vendor","Par","Bottle size","Case pack","Vendor item #","VOLUME (high volume / slow mover)","BUY (bottle / case / rule)","NOTES"
"Trader Vic's Macadamia","Spirits","Southern","6 bottles","750 ml","6/case","151682","","",""
"Triple Sec","Spirits","Southern","8 bottles","1 L","12/case","33497","","",""
"u4rik Anejo","Spirits","—","2 cases","","","","","",""
"Vermouth (Dry)","Spirits","Southern","3 bottles","","","","","",""
"Vermouth (Sweet)","Spirits","Southern","3 bottles","","","","","",""
"Watermelon Pucker","Spirits","Southern","3 bottles","","12/case","49357","","",""
"Well Vodka (Wheatley)","Spirits","Gate City","12 bottles","1 L","12/case","324073CW","","",""
"Athletic NA IPA","Beer/Wine","Gate City","0.5 cases","","24/case","57229","","",""
"Athletic NA Mexican Lager","Beer/Wine","Gate City","0.5 cases","","24/case","12562","","",""
"Caymus California","Beer/Wine","Southern","12 bottles","750 ml","12/case","685530","","",""
"Chalk Hill Chardonnay","Beer/Wine","Southern","6 bottles","750 ml","6/case","681087","","",""
"Chateau Ste Michelle Merlot","Beer/Wine","Southern","12 bottles","","24/case?","","","",""
"Conundrum Red Blend","Beer/Wine","Southern","12 bottles","750 ml","12/case","623935","","",""
"Conundrum White","Beer/Wine","Southern","12 bottles","750 ml","12/case","698471","","",""
"Coors Banquet Bottles","Beer/Wine","Gate City","4 cases","","24/case","26307","","",""
"Coors Light Bottles","Beer/Wine","Gate City","8 cases","","24/case","10222","","",""
"Corona Bottle","Beer/Wine","Gate City","8 cases","","24/case","10157","","",""
"Doffo Cabernet","Beer/Wine","—","1 case","","24/case?","","","",""
"Doffo Vermentino","Beer/Wine","—","1 case","","24/case?","","","",""
"Ferrari Pinot Grigio","Beer/Wine","Southern","12 bottles","750 ml","12/case","703274","","",""
"Freixenet Cava Splits","Beer/Wine","Southern","4 cases","","24/case","12414","","",""
"Gambino Sparkling","Beer/Wine","Southern","24 bottles","750 ml","12/case","948644","","",""
"High Noon Cherry","Beer/Wine","Gate City","2 cases","","24/case","67648","","",""
"High Noon Iced Tea","Beer/Wine","Gate City","2 cases","","24/case","67655","","",""
"High Noon Watermelon","Beer/Wine","Gate City","2 cases","","24/case","67652","","",""
"Justin Cabernet Sauvignon","Beer/Wine","Southern","12 bottles","750 ml","12/case","661189","","",""
"Kim Crawford Sauvignon Blanc","Beer/Wine","Southern","18 bottles","750 ml","12/case","14580","","",""
"Mason Pale Ale","Beer/Wine","Mason","1","","24/case?","","","",""
"Michelob Ultra","Beer/Wine","Heinmark","5 cases","","24/case?","","","",""
"Moet Chandon","Beer/Wine","Southern","3 bottles","","24/case?","","","",""
"Peltzer Chardonnay","Beer/Wine","—","6 bottles","","24/case?","","","",""
"Peltzer Feeling Cocky","Beer/Wine","—","6 bottles","","24/case?","","","",""
"Peltzer Syrah Rose","Beer/Wine","—","6 bottles","","24/case?","","","",""
"Prolific Golden Poppy","Beer/Wine","Prolific Brewing","1","","24/case?","","","",""
"Prolific Lager","Beer/Wine","Prolific Brewing","1","","24/case?","","","",""
"Seaglass Pinot Noir","Beer/Wine","Southern","18 bottles","750 ml","12/case","510839","","",""
"Seaglass Riesling","Beer/Wine","Southern","12 bottles","750 ml","12/case","289347","","",""
"Stags Leap Chardonnay","Beer/Wine","Southern","1 case","750 ml","12/case","971110","","",""
"Sun Cruiser (Iced Tea + Vodka)","Beer/Wine","Gate City","1 case","","24/case","61518","","",""
"Surfside Cans","Beer/Wine","Gate City","2 cases","","24/case","60904","","",""
"Sycamore Lane Cabernet","Beer/Wine","Southern","12 bottles","750 ml","12/case","512832","","",""
